Quandl Code,Starting Date
YAHOO/INDEX_DJI,1992-01-02
YAHOO/INDEX_GSPC,1950-01-03
YAHOO/INDEX_MID,1981-01-02
YAHOO/INDEX_SML,1989-01-03
YAHOO/NDAQ,2002-07-01
YAHOO/INDEX_NYA,1965-12-31
YAHOO/INDEX_RUI,1992-12-10
YAHOO/INDEX_RUT,1987-09-10
YAHOO/INDEX_RUA,1987-09-10
YAHOO/INDEX_XOI,1983-08-26
YAHOO/INDEX_XAX,1995-12-27
YAHOO/INDEX_MERV,1996-10-08
YAHOO/INDEX_BVSP,1993-04-27
YAHOO/INDEX_MXX,1991-11-08
YAHOO/INDEX_MXY,1994-07-26
YAHOO/INDEX_GSPTSE,1970-01-30
YAHOO/INDEX_IEQR_IR,1997-02-26
YAHOO/INDEX_GD_AT,1988-02-05
YAHOO/INDEX_FCHI,1990-03-01
YAHOO/INDEX_GDAXI,1990-11-26
YAHOO/INDEX_OMXC20_CO,1991-08-13
GOOG/JSE_STX40,2003-07-10
GOOG/JSE_STXIND,2003-12-29
GOOG/JSE_STXFIN,2003-09-29
GOOG/JSE_STXRES,2006-04-10
GOOG/JSE_STXSWX,2006-04-10
YAHOO/INDEX_CCSI,1997-07-02
YAHOO/INDEX_RTS_RS,1995-09-01
YAHOO/INDEX_SSMI,1990-11-09
YAHOO/INDEX_TA100,1997-07-01
YAHOO/INDEX_STOXX50E,1986-12-31
YAHOO/INDEX_IBEX,1993-02-15
YAHOO/INDEX_AEX,1992-10-12
YAHOO/INDEX_BFX,1991-04-09
YAHOO/INDEX_ATX,1992-11-11
YAHOO/INDEX_OMX,1991-07-09
YAHOO/INDEX_N225,1984-01-04
YAHOO/INDEX_JPN,1990-09-20
YAHOO/INDEX_SSEC,1997-07-02
YAHOO/SS_000300,2005-04-08
YAHOO/INDEX_HSI,1975-01-31
YAHOO/INDEX_KS11,1997-07-01
YAHOO/INDEX_BSESN,1997-07-01
YAHOO/INDEX_NSEI,1990-07-03
YAHOO/INDEX_CSE,1997-07-01
YAHOO/INDEX_NZ50,2003-01-03
YAHOO/INDEX_TWII,1997-07-02
YAHOO/INDEX_AORD,1984-08-03
YAHOO/INDEX_AXJO,1992-11-23
YAHOO/INDEX_JKSE,1997-07-01
YAHOO/INDEX_STI,1987-12-28
